date,symbol,open,high,low,close,Volume.USD,Volume.BTC
2019-10-22,BTC/USD,8243.8,8333,8034.9,8058.8,31574286.93,3851.34
2019-10-23,BTC/USD,8058.8,8074.5,7333.4,7493.7,99470281.12,12982.27
2019-10-24,BTC/USD,7493.7,7529,7367.9,7453,43328562.42,5804.04
2019-10-25,BTC/USD,7453,8803.1,7426,8679.1,141204255.14,17096.47
2019-10-26,BTC/USD,8679.1,10480,8661.85,9270.9,302542798.76,32057.57
2019-10-27,BTC/USD,9270.9,9823.86,9121.2,9571.7,105759041.14,11101.85
2019-10-28,BTC/USD,9571.7,9948.9,9216.8,9225.7,85718049.78,8992.23
2019-10-29,BTC/USD,9225.7,9559.8,9100,9445.5,62984466.68,6727.53
2019-10-30,BTC/USD,9445.5,9446.9,9035,9184.3,46416723.49,5047
2019-10-31,BTC/USD,9184.3,9467.1,8982.1,9185.6,52162919.81,5668.12
2019-11-01,BTC/USD,9186.6,9333,9085.56,9289,37734042.41,4090.96
2019-11-02,BTC/USD,9289,9429.5,9251.5,9332.1,34131340.84,3657.49
2019-11-03,BTC/USD,9332.1,9400.6,9100,9222.4,33318630.1,3616.54
2019-11-04,BTC/USD,9222.4,9645,9152,9440,70257907.98,7470.06
2019-11-05,BTC/USD,9440,9504.1,9185.1,9339.7,31876098.07,3412.67
2019-11-06,BTC/USD,9339.7,9475,9278,9352.8,32510527.59,3469.76
2019-11-07,BTC/USD,9352.8,9387.1,9051.6,9209.2,34501453.62,3746.14
2019-11-08,BTC/USD,9212.56,9252.9,8681,8782.3,69957120.36,7864.4
2019-11-09,BTC/USD,8782.3,8896,8734.8,8828.05,17264383.9,1958.39
2019-11-10,BTC/USD,8828.05,9250,8764,9069.7,41699156.7,4635.79
2019-11-11,BTC/USD,9069.7,9108.5,8616.5,8737.72,37331291.41,4243.05
2019-11-12,BTC/USD,8737.72,8910,8602,8830,30664848.17,3504.66
2019-11-13,BTC/USD,8830,8849.9,8730.3,8801.1,11776613.59,1340.1
2019-11-14,BTC/USD,8801.1,8817.4,8600,8655.7,28654469.46,3304.68
2019-11-15,BTC/USD,8655.4,8800,8420.1,8495.83,44391897.86,5184.17
2019-11-16,BTC/USD,8495.83,8577,8440.1,8523.5,13052213.87,1534.61
2019-11-17,BTC/USD,8523.5,8699.5,8404.4,8537.3,24305104.91,2837.15
2019-11-18,BTC/USD,8537.3,8537.3,8117,8219.5,53104060.05,6362.44
2019-11-19,BTC/USD,8219.5,8245.53,8051.7,8164.9,30176997.44,3703.9
2019-11-20,BTC/USD,8164.9,8257.8,8081,8126.4,16784844.6,2060.19
2019-11-21,BTC/USD,8126.4,8155.9,7500,7672.5,76908169.46,9890.62
2019-11-22,BTC/USD,7671.1,7766,6819.2,7317.2,140137396.73,19368.42
2019-11-23,BTC/USD,7317.2,7385,7141,7352.6,33578378.33,4626.89
2019-11-24,BTC/USD,7352.6,7372,6922,6965.3,61081191.71,8576.36
2019-11-25,BTC/USD,6965.3,7414.4,6618,7162.8,129228369.64,18517.19
2019-11-26,BTC/USD,7162.8,7386.3,7047.2,7198.3,37308190.97,5197.48
2019-11-27,BTC/USD,7198.3,7689,6878.2,7549.3,101436340.2,13895.63
2019-11-28,BTC/USD,7549.3,7690,7415,7460.8,32491504.65,4302.7
2019-11-29,BTC/USD,7460.7,7933.4,7450,7796.6,55864935.1,7279.6
2019-11-30,BTC/USD,7796.6,7861.6,7492,7599.88,38097415.98,4974.19
2019-12-01,BTC/USD,7599.88,7600.1,7288.6,7450.1,46818362.64,6332.7
2019-12-02,BTC/USD,7450.1,7467.3,7206.4,7350.26,33912475.77,4628.57
2019-12-03,BTC/USD,7350.26,7454.6,7287,7336.02,16905008.29,2297.91
2019-12-04,BTC/USD,7336.02,7890,7129,7238.3,86829939.47,11723.6
2019-12-05,BTC/USD,7238.3,7530.9,7191,7440,35249966.38,4785.99
2019-12-06,BTC/USD,7440,7661.8,7350,7588.3,42760183.81,5714.49
2019-12-07,BTC/USD,7588.3,7669.8,7516.7,7543.2,13065996.01,1724.39
2019-12-08,BTC/USD,7543.2,7620,7433.6,7564.6,32448667.09,4300.36
2019-12-09,BTC/USD,7564.6,7748.7,7306.2,7379.52,49302465.74,6556.88
2019-12-10,BTC/USD,7379.52,7434.6,7200,7254.6,26613221.79,3640.21
2019-12-11,BTC/USD,7254.6,7312,7169,7230.72,22619306.19,3124.71
2019-12-12,BTC/USD,7230.72,7369.02,7132.8,7224,40661585.02,5640.15
2019-12-13,BTC/USD,7224.1,7332,7218.7,7283.2,21077258.44,2901.57
2019-12-14,BTC/USD,7283.2,7290.5,7032.6,7100.8,24385078.34,3411.3
2019-12-15,BTC/USD,7100.8,7224.8,7043.9,7152.7,25412542.64,3562.9
2019-12-16,BTC/USD,7152.7,7196,6900,6926.6,94801451.18,13417.83
2019-12-17,BTC/USD,6926.6,6972,6620,6667.1,85657811.5,12656.31
2019-12-18,BTC/USD,6667.1,7482.2,6477,7326.2,95095050.68,13752.71
2019-12-19,BTC/USD,7326.2,7417.1,7079.7,7181.8,39076315.01,5430.84
2019-12-20,BTC/USD,7181.8,7249,7116.8,7212.93,40900453.34,5703.24
2019-12-21,BTC/USD,7212.93,7215.1,7136.5,7166.4,16376308.56,2281.85
2019-12-22,BTC/USD,7166.4,7541.4,7159.6,7535.1,26583211.42,3620.89
2019-12-23,BTC/USD,7535.1,7715.1,7282.4,7347.4,53247456.97,7082.32
2019-12-24,BTC/USD,7347.4,7445,7182.1,7276.9,31076890.05,4254.62
2019-12-25,BTC/USD,7276.9,7294.2,7113.2,7220.1,24299327.83,3361.83
2019-12-26,BTC/USD,7220.1,7465,7181.8,7232.4,34397208.4,4715.48
2019-12-27,BTC/USD,7232.4,7300,7113.3,7287,28861348.89,3996.65
2019-12-28,BTC/USD,7287,7390,7279.2,7334.4,20049188.45,2731.06
2019-12-29,BTC/USD,7334.4,7551.6,7311.6,7413.6,18529411.43,2494.49
