,btc,#BTC,ethereum,eth,bitcoin
2015-09-05,0.3979525093322273,0.10388228829993536,0.14314464285714285,0.30188248456790123,0.3325933235607676
2015-09-06,0.3492422497785651,0.10137474489795918,0.14468636363636364,0.24463815635939323,0.3160557451208479
2015-09-07,0.3536144015080113,0.08993642857142857,0.06774604316546763,0.18367034739454094,0.292925704474846
2015-09-08,0.31416801960784313,0.09597,0.12515037037037038,0.2299060986547085,0.2816726837691169
2015-09-09,0.09433486399532028,0.06462521881838075,0.10589611650485437,0.2611044943820225,0.22543620190536345
2015-09-10,0.11264176256814053,0.1044881210736722,0.15770217391304348,0.31704967045183835,0.22990397883488095
2015-09-11,0.10720848912044131,0.07101637630662021,0.09638673469387755,0.2630734984193888,0.1984403975704031
2015-09-12,0.13403172888015719,0.12588132992327367,0.1321340909090909,0.28008776119402984,0.20445917307565897
2015-09-13,0.1397189063021007,0.08642390213299875,0.2354548076923077,0.21516167272727274,0.24982159893683992
2015-09-14,0.12822558517555266,0.09500369501466276,0.2159675496688742,0.19744039913700107,0.23214467201123531
2015-09-15,0.125782338536884,0.09982881646655233,0.1961298076923077,0.27245276816609,0.23416210601294
2015-09-16,0.12140554049984945,0.0775078735632184,0.15722278481012658,0.23951729032258065,0.2270778522073949
2015-09-17,0.27159387853859185,0.09027494252873564,0.11541838235294118,0.23654382765001322,0.25871073129589206
2015-09-18,0.3472106878088962,0.08382012297372834,0.16265520833333333,0.2943442684451855,0.23817871183246972
2015-09-19,0.3884280467445743,0.11615785973397824,0.1800278350515464,0.6052080996884736,0.3083394103058694
2015-09-20,0.37883527555742535,0.08715875561257216,0.08500394736842105,0.4403952910207663,0.31530929640978206
2015-09-21,0.35264455367675973,0.09119994606256743,0.07537857142857142,0.2661676852239431,0.2398166480029862
2015-09-22,0.3480774639878696,0.08863049494411922,0.11985151515151515,0.3153177511244378,0.2102784336875246
2015-09-23,0.34545255023183924,0.08167935517420696,0.11806935483870967,0.21461866359447004,0.2510185691355194
2015-09-24,0.33431215064420217,0.09599011916583913,0.07993673469387755,0.3149095089633671,0.27074092512929576
